	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
0	Histidine	156.0768	110.0710006953521	1.0	81	Histidine	10
1	Histidine	156.0768	156.0746898835626	0.23262304	81	Histidine	10
2	Phenylalanine	166.0863	120.08081387494899	1.0	53	Phenylalanine	10
3	Phenylalanine	166.0863	103.05462791928069	0.04043918	53	Phenylalanine	10
4	Arginine	175.119	175.11799681220882	1.0	80	Arginine	10
5	Arginine	175.119	70.06534355766789	0.58356744	80	Arginine	10
6	Aspartic Acid	134.0448	74.0235571699932	1.0	76	Aspartic Acid	10
7	Aspartic Acid	134.0448	88.04005417826957	0.6544992	76	Aspartic Acid	10
8	Glutamic Acid	148.0604	84.0445191617443	1.0	71	Glutamic Acid	10
9	Glutamic Acid	148.0604	130.04834254894536	0.5317707	71	Glutamic Acid	10
10	Iso/Leucine	132.1019	86.09632097655668	1.0	54	Iso/Leucine	10
11	Iso/Leucine	132.1019	132.1019378712075	0.029325914	54	Iso/Leucine	10
12	Lysine	147.1128	84.08041088610177	1.0	82	Lysine	10
13	Lysine	147.1128	130.08589082977	0.3714653	82	Lysine	10
14	Methionine	150.0583	56.04904453318877	1.0	58	Methionine	10
15	Methionine	150.0583	104.052119560705	0.8724061	58	Methionine	10
16	Proline	116.0706	70.06472299190361	1.0	62	Proline	10
17	Proline	116.0706	116.07017234946598	0.32022026	62	Proline	10
18	Serine	106.0499	60.04411670768509	1.0	71	Serine	10
19	Serine	106.0499	88.03922928910224	0.08223647	71	Serine	10
20	Threonine	120.0655	74.05950244577477	1.0	70	Threonine	10
21	Threonine	120.0655	56.04891014529815	0.67405134	70	Threonine	10
22	Tyrosine	182.0812	136.07498961881478	1.0	60	Tyrosine	10
23	Tyrosine	182.0812	165.05453855737338	0.61202675	60	Tyrosine	10
24	Valine	118.0863	118.08626623175626	1.0	60	Valine	10
25	Valine	118.0863	59.07219987598784	0.069554605	60	Valine	10
26	Alanine	90.055	90.05399033732753	1.0	60	Alanine	10
27	Alanine	90.055	81.9332896690768	0.22972973	60	Alanine	10
