name,compound,neutral,[M-H]-####-1#no,[M+H]+####1#no,[M+Na]+###Na#1#no,[M+K]+###K#1#no
Histidine,C6H9N3O2,155.0695,154.0622,156.0768,178.0587,194.0326
Phenylalanine,C9H11NO2,165.0790,164.0717,166.0863,188.0682,204.0421
Arginine,C6H14N4O2,174.1117,173.1044,175.1190,197.1009,213.0748
Aspartic Acid,C4H7NO4,133.0375,132.0302,134.0448,156.0267,172.0007
Glutamic Acid,C5H9NO4,147.0532,146.0459,148.0604,170.0424,186.0163
Iso/Leucine,C6H13NO2,131.0946,130.0874,132.1019,154.0838,170.0578
Lysine,C6H14N2O2,146.1055,145.0983,147.1128,169.0947,185.0687
Methionine,C5H11NO2S,149.0510,148.0438,150.0583,172.0403,188.0142
Proline,C5H9NO2,115.0633,114.0561,116.0706,138.0526,154.0265
Serine,C3H7NO3,105.0426,104.0353,106.0499,128.0318,144.0058
Threonine,C4H9NO3,119.0582,118.0510,120.0655,142.0475,158.0214
Tyrosine,C9H11NO3,181.0739,180.0666,182.0812,204.0631,220.0371
Valine,C5H11NO2,117.0790,116.0717,118.0863,140.0682,156.0421
Alanine,C3H7NO2,89.0477,88.0404,90.0550,112.0369,128.0108
,,,,,,
